2014-11-12 09:07:50 INFO  [GenerateBL] [findEPRTBol] [DefaultQuartzScheduler_Worker-2] - Se va obtener historiales con estado EPR 
2014-11-12 09:07:50 INFO  [GenerateBL] [findEPRTBol] [DefaultQuartzScheduler_Worker-2] - Se encontro historiales con estado EPR
2014-11-12 09:07:50 INFO  [GenerateBL] [findProgramacionTBol] [DefaultQuartzScheduler_Worker-2] - Se va obtener la programacion1-199
2014-11-12 09:07:50 INFO  [GenerateBL] [findProgramacionTBol] [DefaultQuartzScheduler_Worker-2] - Se va obtener la programacion1-200
2014-11-12 09:07:50 INFO  [Generate] [retryCallDetailTBol] [DefaultQuartzScheduler_Worker-2] - CAMBIANDO A ESTADO REN
2014-11-12 09:07:50 INFO  [GenerateBL] [updateEstado] [DefaultQuartzScheduler_Worker-2] - Se va actualizar el estado del historial 1-199
2014-11-12 09:07:50 INFO  [TBolHistorialDAO] [updateEstado] [DefaultQuartzScheduler_Worker-2] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:50 INFO  [Generate] [retryCallDetailTBol] [DefaultQuartzScheduler_Worker-2] - CAMBIANDO A ESTADO REN
2014-11-12 09:07:50 INFO  [GenerateBL] [updateEstado] [DefaultQuartzScheduler_Worker-2] - Se va actualizar el estado del historial 1-200
2014-11-12 09:07:50 INFO  [TBolHistorialDAO] [updateEstado] [DefaultQuartzScheduler_Worker-2] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:50 INFO  [Generate] [generarHilos] [DefaultQuartzScheduler_Worker-2] - Se va dividir la tarea de generacion  de 2 Lineas entre 2 hilos
2014-11-12 09:07:50 INFO  [Generate] [generarHilos] [DefaultQuartzScheduler_Worker-2] - ini:0 | bloque:1 | size:0
2014-11-12 09:07:50 INFO  [Generate] [generarHilos] [DefaultQuartzScheduler_Worker-2] - ini:1 | bloque:1 | size:0
2014-11-12 09:07:50 INFO  [Generate] [generarHilos] [DefaultQuartzScheduler_Worker-2] - Se va lanzar 2 hilos.
2014-11-12 09:07:50 INFO  [GenerateBL] [findEPVTBol] [DefaultQuartzScheduler_Worker-2] - Se va obtener historiales con estado EPV 
2014-11-12 09:07:50 INFO  [GenerateThread] [run] [Thread-6] - Se inicio el hilo para la generacion de detalle de 1 Lineas
2014-11-12 09:07:50 INFO  [GenerateThread] [run] [Thread-5] - Se inicio el hilo para la generacion de detalle de 1 Lineas
2014-11-12 09:07:50 INFO  [GenerateBL] [findEPVTBol] [DefaultQuartzScheduler_Worker-2] - No se encontro historiales con estado EPV
2014-11-12 09:07:50 INFO  [SysParameter] [load] [Thread-6] - Vamos a iniciar la carga de los parametros del sistema.
2014-11-12 09:07:50 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-2] - Termino el proceso de reintentos, No se encontro historiales con estado EPV 
